id,Name,Name_H,pic_link,origNm,status,polyNm
9770933,강병원,姜炳遠,http://www.assembly.go.kr/photo/9770933.jpg,서울 은평구을,초선,더불어민주당
9770931,고용진,고용진,http://www.assembly.go.kr/photo/9770931.jpg,서울 노원구갑,초선,더불어민주당
9770937,금태섭,琴泰燮,http://www.assembly.go.kr/photo/9770937.jpg,서울 강서구갑,초선,더불어민주당
9770927,기동민,奇東旻,http://www.assembly.go.kr/photo/9770927.jpg,서울 성북구을,초선,더불어민주당
9770941,김병기,金炳基,http://www.assembly.go.kr/photo/9770941.jpg,서울 동작구갑,초선,더불어민주당
9770930,김선동,金善東,http://www.assembly.go.kr/photo/9770930.jpg,서울 도봉구을,재선,미래통합당
9770942,김성식,金成植,http://www.assembly.go.kr/photo/9770942.jpg,서울 관악구갑,재선,무소속
9770974,김성태,金聖泰,http://www.assembly.go.kr/photo/9770974.jpg,서울 강서구을,3선,미래통합당
9771089,김성환,金星煥,http://www.assembly.go.kr/photo/9771089.jpg,서울 노원구병,초선,더불어민주당
9770975,김영주,金榮珠,http://www.assembly.go.kr/photo/9770975.jpg,서울 영등포구갑,3선,더불어민주당
9770934,김영호,金映豪,http://www.assembly.go.kr/photo/9770934.jpg,서울 서대문구을,초선,더불어민주당
9770542,김용태,金容兌,http://www.assembly.go.kr/photo/9770542.jpg,서울 양천구을,3선,미래통합당
9770903,나경원,羅卿瑗,http://www.assembly.go.kr/photo/9770903.jpg,서울 동작구을,4선,미래통합당
9770752,남인순,南仁順,http://www.assembly.go.kr/photo/9770752.jpg,서울 송파구병,재선,더불어민주당
9770753,노웅래,盧雄來,http://www.assembly.go.kr/photo/9770753.jpg,서울 마포구갑,3선,더불어민주당
9770761,민병두,閔丙두,http://www.assembly.go.kr/photo/9770761.jpg,서울 동대문구을,3선,무소속
9770944,박성중,朴成重,http://www.assembly.go.kr/photo/9770944.jpg,서울 서초구을,초선,미래통합당
9770347,박영선,朴映宣,http://www.assembly.go.kr/photo/9770347.jpg,서울 구로구을,4선,더불어민주당
9770929,박용진,朴用鎭,http://www.assembly.go.kr/photo/9770929.jpg,서울 강북구을,초선,더불어민주당
9770776,박인숙,朴仁淑,http://www.assembly.go.kr/photo/9770776.jpg,서울 송파구갑,재선,미래통합당
9770932,박주민,朴柱民,http://www.assembly.go.kr/photo/9770932.jpg,서울 은평구갑,초선,더불어민주당
9770779,박홍근,朴洪根,http://www.assembly.go.kr/photo/9770779.jpg,서울 중랑구을,재선,더불어민주당
9770784,서영교,徐瑛敎,http://www.assembly.go.kr/photo/9770784.jpg,서울 중랑구갑,재선,더불어민주당
9770935,손혜원,孫惠園,http://www.assembly.go.kr/photo/9770935.jpg,서울 마포구을,초선,열린민주당
9770792,신경민,辛京珉,http://www.assembly.go.kr/photo/9770792.jpg,서울 영등포구을,재선,더불어민주당
9770798,심재권,沈載權,http://www.assembly.go.kr/photo/9770798.jpg,서울 강동구을,3선,더불어민주당
9770587,안규백,安圭伯,http://www.assembly.go.kr/photo/9770587.jpg,서울 동대문구갑,3선,더불어민주당
9770918,오신환,吳晨煥,http://www.assembly.go.kr/photo/9770918.jpg,서울 관악구을,재선,미래통합당
9770871,우상호,禹相虎,http://www.assembly.go.kr/photo/9770871.jpg,서울 서대문구갑,3선,더불어민주당
9770872,우원식,禹元植,http://www.assembly.go.kr/photo/9770872.jpg,서울 노원구을,3선,더불어민주당
9770874,유승희,兪承希,http://www.assembly.go.kr/photo/9770874.jpg,서울 성북구갑,3선,더불어민주당
9770947,이은재,李恩宰,http://www.assembly.go.kr/photo/9770947.jpg,서울 강남구병,재선,한국경제당
9770878,이인영,李仁榮,http://www.assembly.go.kr/photo/9770878.jpg,서울 구로구갑,3선,더불어민주당
9770945,이종구,李鍾九,http://www.assembly.go.kr/photo/9770945.jpg,서울 강남구갑,3선,미래통합당
9770943,이혜훈,李惠薰,http://www.assembly.go.kr/photo/9770943.jpg,서울 서초구갑,3선,미래통합당
9770939,이훈,李薰,http://www.assembly.go.kr/photo/9770939.jpg,서울 금천구,초선,더불어시민당
9770839,인재근,印在謹,http://www.assembly.go.kr/photo/9770839.jpg,서울 도봉구갑,재선,더불어민주당
9770946,전현희,全賢姬,http://www.assembly.go.kr/photo/9770946.jpg,서울 강남구을,재선,더불어민주당
9770926,전혜숙,全惠淑,http://www.assembly.go.kr/photo/9770926.jpg,서울 광진구갑,재선,더불어민주당
9770230,정세균,丁世均,http://www.assembly.go.kr/photo/9770230.jpg,서울 종로구,6선,더불어민주당
9770928,정양석,鄭亮碩,http://www.assembly.go.kr/photo/9770928.jpg,서울 강북구갑,재선,미래통합당
9770925,지상욱,池尙昱,http://www.assembly.go.kr/photo/9770925.jpg,서울 중구성동구을,초선,미래통합당
9770852,진선미,陳善美,http://www.assembly.go.kr/photo/9770852.jpg,서울 강동구갑,재선,더불어민주당
9770462,진영,陳永,http://www.assembly.go.kr/photo/9770462.jpg,서울 용산구,4선,더불어민주당
9771100,최재성,崔宰誠,http://www.assembly.go.kr/photo/9771100.jpg,서울 송파구을,4선,더불어민주당
9770659,추미애,秋美愛,http://www.assembly.go.kr/photo/9770659.jpg,서울 광진구을,5선,더불어민주당
9770859,한정애,韓貞愛,http://www.assembly.go.kr/photo/9770859.jpg,서울 강서구병,재선,더불어민주당
9770864,홍익표,洪翼杓,http://www.assembly.go.kr/photo/9770864.jpg,서울 중구성동구갑,재선,더불어민주당
9770936,황희,黃熙,http://www.assembly.go.kr/photo/9770936.jpg,서울 양천구갑,초선,더불어민주당
